latitude,longitude,count
37.2276,-121.99,5
37.5483,-121.9886,6
37.3501,-121.9854,1
37.567,-121.9829,1
37.7799,-121.978,1
37.9711,-121.96,4
37.5079,-121.9599,3
37.3541,-121.9552,13
37.3486,-121.951,1
37.2304,-121.9505,1
49.1667,-121.95,2
37.2872,-121.95,1
36.5815,-121.9464,1
37.425,-121.946,2
38.3507,-121.9326,2
37.2555,-121.9245,1
36.6177,-121.9166,2
37.4283,-121.9066,1
37.3874,-121.9024,13
36.9772,-121.8994,1
37.5155,-121.8962,3
37.3394,-121.895,15
37.2972,-121.8868,1
37.3422,-121.8833,2
37.0082,-121.8777,1
37.4404,-121.8705,1
36.6111,-121.8516,1
37.3502,-121.851,1
39.7285,-121.8375,7
39.901,-121.8306,2
36.6249,-121.8257,1
37.3013,-121.8079,1
47.5336,-121.7997,3
37.2267,-121.7864,1
37.4299,-121.7783,1
37.9668,-121.7662,1
38.5449,-121.7405,1
36.9512,-121.724,4
37.1894,-121.7053,1
37.9942,-121.6887,2
38.693,-121.6812,1
39.5051,-121.6765,1
36.6777,-121.6555,2
37.1305,-121.6544,1
38.6667,-121.6293,1
39.7596,-121.6219,1
39.1405,-121.6169,1
42.1851,-121.6141,1
39.5138,-121.5564,1
38.5137,-121.4979,1
38.6164,-121.4962,1
38.5816,-121.4944,22
38.5831,-121.4921,1
39.1587,-121.4726,1
38.5689,-121.4383,1
37.7375,-121.4258,2
37.7396,-121.4252,1
42.1988,-121.4061,1
38.4884,-121.4024,1
38.5856,-121.3777,1
38.6857,-121.3722,1
38.4088,-121.3716,1
38.7843,-121.3706,4
38.6821,-121.3482,1
38.4855,-121.3431,1
38.6262,-121.3248,1
37.9753,-121.3244,3
38.6932,-121.3116,2
37.9811,-121.308,1
38.5891,-121.3027,1
38.0267,-121.3012,1
37.9577,-121.2908,3
38.7521,-121.288,2
38.7071,-121.2811,2
38.7632,-121.2795,3
37.8227,-121.2766,1
38.1302,-121.2725,1
38.6446,-121.2722,2
38.6926,-121.269,1
38.6027,-121.2687,3
38.7439,-121.2558,2
38.6501,-121.2534,2
38.7907,-121.2358,3
38.678,-121.1761,3
38.1165,-121.1676,2
38.1635,-121.1499,1
44.6335,-121.1295,1
37.7416,-121.1244,1
38.6857,-121.0822,1
38.8966,-121.0769,1
36.9036,-121.0215,1
37.6703,-121.0169,1
37.2577,-120.9988,1
37.6391,-120.9969,3
41.1938,-120.9452,1
38.6657,-120.9261,1
37.5372,-120.8487,4
37.7666,-120.8471,1
38.7296,-120.7986,1
37.8034,-120.7464,1
35.4894,-120.6707,2
44.1066,-120.6642,1
35.2828,-120.6596,1
39.7884,-120.6536,1
37.6812,-120.6438,1
35.2565,-120.6214,4
35.1186,-120.5907,2
46.5982,-120.5308,1
46.6021,-120.5059,1
37.3022,-120.483,1
34.6392,-120.4579,1
35.3471,-120.4553,3
47.4235,-120.3103,2
55.7667,-120.2333,1
34.9182,-120.2322,1
36.9127,-120.1956,1
51.1833,-120.1333,1
34.5021,-120.1287,1
36.9613,-120.0607,1
38.9624,-119.9399,1
36.7967,-119.9295,2
36.6484,-119.9137,1
39.4907,-119.9028,1
39.3863,-119.8729,1
39.4914,-119.8435,1
36.2939,-119.8286,2
36.84,-119.8285,1
36.756,-119.8174,1
39.5296,-119.8138,2
36.3008,-119.7829,2
36.7477,-119.7724,5
36.8874,-119.7697,1
36.8194,-119.7586,1
39.5349,-119.7527,3
36.7411,-119.7499,1
39.2174,-119.7143,1
34.4194,-119.7072,1
34.4208,-119.6982,4
36.7505,-119.6733,3
36.3274,-119.6457,1
34.4412,-119.6186,1
36.5708,-119.6121,1
36.9358,-119.5634,1
36.708,-119.556,1
49.9,-119.4833,2
39.5369,-119.4186,1
36.1815,-119.3623,1
35.1723,-119.3621,1
46.3282,-119.3222,1
36.6244,-119.3137,1
47.1901,-119.3074,1
34.2783,-119.2932,1
36.3302,-119.2921,2
35.7833,-119.2361,2
35.188,-119.2162,1
35.6526,-119.1959,1
36.3769,-119.1844,1
50.45,-119.1833,3
34.1975,-119.177,1
34.2501,-119.1608,1
35.3456,-119.0756,4
35.155,-119.0603,1
34.2164,-119.0376,1
35.3879,-119.0236,1
35.3733,-119.0187,6
34.1702,-118.9558,1
34.2133,-118.88,2
35.2044,-118.8648,1
34.1706,-118.8376,2
35.438,-118.8312,1
34.0697,-118.8177,6
34.2521,-118.7843,1
34.2694,-118.7815,2
34.1364,-118.7745,1
34.1267,-118.7648,2
34.0397,-118.7077,1
34.5102,-118.6804,2
34.1749,-118.6152,1
34.2868,-118.614,1
34.4436,-118.6095,1
34.1519,-118.6002,1
34.2093,-118.5752,1
34.418,-118.5662,1
34.281,-118.5577,1
34.2417,-118.5504,2
34.0797,-118.5484,1
34.2005,-118.5404,3
34.2011,-118.5365,2
35.1293,-118.511,1
34.2942,-118.5071,2
34.1592,-118.5012,2
34.016,-118.4925,1
34.0194,-118.4912,7
34.0863,-118.4896,1
34.0119,-118.4682,3
49.05,-118.4667,1
35.1322,-118.449,1
34.0486,-118.4424,1
