latitude,longitude,count,city,state,zip,country
30.0416,-99.1408,3,Kerrville,TX,78028,US
29.4599,-98.7479,1,San Antonio,TX,78253,US
29.5551,-98.7442,3,San Antonio,TX,78254,US
29.4189,-98.6895,1,San Antonio,TX,78245,US
29.6701,-98.6873,1,San Antonio,TX,78255,US
29.8931,-98.6857,3,Boerne,TX,78006,US
29.451,-98.6169,2,San Antonio,TX,78238,US
29.5612,-98.6117,7,San Antonio,TX,78249,US
29.5189,-98.6006,3,San Antonio,TX,78240,US
33.8581,-98.5755,3,Wichita Falls,TX,76310,US
34.086,-98.5708,7,Burkburnett,TX,76354,US
29.5042,-98.5697,1,San Antonio,TX,78229,US
29.5407,-98.5521,3,San Antonio,TX,78230,US
33.8931,-98.5343,3,Wichita Falls,TX,76309,US
33.8633,-98.534,1,Wichita Falls,TX,76308,US
33.9053,-98.4976,1,Wichita Falls,TX,76301,US
29.5334,-98.4975,1,San Antonio,TX,78216,US
29.6562,-98.4967,3,San Antonio,TX,78258,US
28.9924,-98.4831,2,Pleasanton,TX,78064,US
29.5863,-98.4769,3,San Antonio,TX,78232,US
29.7026,-98.4759,2,San Antonio,TX,78260,US
34.6179,-98.4552,1,Lawton,OK,73505,US
29.7055,-98.4191,1,San Antonio,TX,78261,US
29.4969,-98.4032,1,San Antonio,TX,78218,US
34.6246,-98.3895,1,Lawton,OK,73507,US
29.5563,-98.3643,2,San Antonio,TX,78233,US
32.0909,-98.3455,2,Dublin,TX,76446,US
29.5173,-98.3217,1,Converse,TX,78109,US
26.0807891,-98.2999479,1,Reynosa,Tamaulipas,88670,MX
29.579,-98.2778,1,Schertz,TX,78154,US
26.2154,-98.2359,1,Mcallen,TX,78501,US
26.2556,-98.2303,2,Mcallen,TX,78504,US
29.575,-98.228,1,Cibolo,TX,78108,US
32.2214,-98.2224,2,Stephenville,TX,76401,US
26.2567,-98.1989,1,Mcallen,TX,78502,US
29.7565,-98.1983,3,New Braunfels,TX,78132,US
